GEM unit/phase ID,GEM location ID,Country,Wiki URL,Plant name,Unit name,Plant name (local),Plant name (other),Owner,Parent,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Previous Region,Latitude,Longitude,Location accuracy,Permits (Detail),Permits (Main Date Only),Captive,Captive industry use,Captive residential use,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Financier,Financier Public or Private,Financier Type,Domestic/International,Financier Country,Advisor,Type of Finance,Equity Partnership,Units Included,Financing Status,Repaid?,Close Date,Close Year,All Finance This Plant,This Financier's Total Share,This Financier's Unit Share,EPC Company,Insurance,Equipment (GENMFR),TurbMFR,BoilerMFR
G100000103618,L100000103600,Türkiye,https://www.gem.wiki/Hande_power_station,Hande power station,--,,,Çukurova Demtaş Enerji Üretim [100%],Çukurova Demtaş Enerji Üretim [100.0%],600,cancelled,,,,Unknown,Unknown,imported,,,Yumurtalık,Yumurtalık,Adana,Western Asia,Asia,non-EU Europe,36.780693,35.735779,approximate,,,,,,"8,605","96,100",53.00%,2.4,97.2,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000103639,L100000104358,Zimbabwe,https://www.gem.wiki/Harare_power_station,Harare power station,Unit 3,,,ZESA Holdings [100%],ZESA Holdings [100.0%],30,operating,1956,,,subcritical,Unknown,,,Kopje,,,Harare,Sub-Saharan Africa,Africa,Africa and Middle East,-17.845,31.031667,exact,,,,,,"12,618","96,100",53.00%,0.2,0.9,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000103647,L100000102630,India,https://www.gem.wiki/Harduaganj_power_station,Harduaganj power station,Unit 10,,,Uttar Pradesh Rajya Vidyut Utpadan Nigam [100%],Uttar Pradesh Rajya Vidyut Utpadan Nigam [100.0%],660,operating,2022,,,supercritical,Unknown,,,Kasimpur,,Aligarh,Uttar Pradesh,Southern Asia,Asia,South Asia,28.0175,78.13,exact,"May 12, 2015 – Environmental Clearance; Terms of Reference: 2010-03-12","Year: 2015, Month: 5, Day: 12",,,,"8,409","96,100",53.00%,2.6,101.9,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000103672,L100000102148,India,https://www.gem.wiki/Hasdeo_Thermal_Power_Station,Hasdeo Thermal Power Station,Stage III Unit 5,,"Korba West Hasdeo power station, Rajiv Gandhi power station (Stage II Unit 4, Stage III Unit 5)",Chhattisgarh State Power Generation [100%],Chhattisgarh State Power Generation [100.0%],500,operating,2013,,,subcritical,bituminous,,,Kusmunda,Katghora,Korba,Chhattisgarh,Southern Asia,Asia,South Asia,22.412536,82.682187,exact,,,,,,"9,572","94,600",53.00%,2.2,66.5,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000103679,L100000103749,United Arab Emirates,https://www.gem.wiki/Hassyan_Clean-Coal_Power_Project,Hassyan Clean-Coal Power Project,Unit 5,,Hassyan Power Complex,Dubai Electricity and Water Authority [100%],Dubai Electricity and Water Authority [100.0%],600,cancelled,,,,ultra-supercritical,Unknown,imported,,Jebel Ali,,,Dubai,Western Asia,Asia,Africa and Middle East,24.911516,54.915494,exact,,,,,,"8,272","96,100",53.00%,2.3,93.5,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000103680,L100000103749,United Arab Emirates,https://www.gem.wiki/Hassyan_Clean-Coal_Power_Project,Hassyan Clean-Coal Power Project,Unit 6,,Hassyan Power Complex,Dubai Electricity and Water Authority [100%],Dubai Electricity and Water Authority [100.0%],600,cancelled,,,,ultra-supercritical,Unknown,imported,,Jebel Ali,,,Dubai,Western Asia,Asia,Africa and Middle East,24.911516,54.915494,exact,,,,,,"8,272","96,100",53.00%,2.3,93.5,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000103750,L100000103622,Türkiye,https://www.gem.wiki/HEMA_Amasra_power_station,HEMA Amasra power station,Unit 1,,,HEMA Elektrik Üretim [100%],Hattat Holding AŞ,660,cancelled,,,,ultra-supercritical,anthracite,Amasra B coal mine,,,Amasra,,Bartin,Western Asia,Asia,non-EU Europe,41.723,32.349,exact,,,,,,"8,272","98,300",53.00%,2.6,105.2,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,Dongfang Electric,,,,
G100000103897,L100000102961,Japan,https://www.gem.wiki/Hirono_power_station,Hirono power station,Unit 6,広野発電所,"IGCC Hirono (IGCC), IGCC広野発電所 (IGCC)",JERA [100%],Chubu Electric Power Co Inc [50.0%]; Tokyo Electric Power Co [50.0%],600,operating,2013,,,ultra-supercritical,bituminous,,,Hirono,Futaba,Fukushima,Tohoku,Eastern Asia,Asia,East Asia,37.232652,141.013799,exact,,,,,,"9,099","94,600",53.00%,2.5,75.9,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000103900,L100000102922,Japan,https://www.gem.wiki/Hitachinaka_power_station,Hitachinaka power station,Unit 2,常陸那珂発電所,,JERA [100%],Chubu Electric Power Co Inc [50.0%]; Tokyo Electric Power Co [50.0%],1000,operating,2013,,,ultra-supercritical,bituminous,,,,Tokai,Ibaraki,Kantō,Eastern Asia,Asia,East Asia,36.4368,140.6138,exact,,,,,,"9,099","94,600",53.00%,4.2,126.5,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000103949,L100000103007,Laos,https://www.gem.wiki/Hongsa_power_station,Hongsa power station,Unit 4,,"HPC power plant, Phase III (Unit 4)",Hongsa Power [100%],Banpu Power PCL [40.0%]; RATCH Group PLC [40.0%]; Lao Holding State Enterprise [20.0%],626,announced,,,,subcritical,lignite,mine-mouth,,Ban Han,,Hongsa,Sainyabuli,South-eastern Asia,Asia,SE Asia,19.691284,101.278217,exact,,,,,,"8,702","101,000",53.00%,2.7,107.8,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000104800,L100000104360,Zimbabwe,https://www.gem.wiki/Hwange_Makomo_power_station,Hwange Makomo power station,Unit 1,,Southern Energy Power Project,Hwange Makomo [100%],Makomo Resources,330,cancelled,,,,subcritical,bituminous,Wankie colliery open cast mine,,Hwange,,Hwange,Matabeleland North,Sub-Saharan Africa,Africa,Africa and Middle East,-18.364722,26.5,approximate,,,other metals & mining,,,"9,572","94,600",53.00%,1.5,58.6,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000104801,L100000104360,Zimbabwe,https://www.gem.wiki/Hwange_Makomo_power_station,Hwange Makomo power station,Unit 2,,Southern Energy Power Project,Hwange Makomo [100%],Makomo Resources,330,cancelled,,,,subcritical,bituminous,Wankie colliery open cast mine,,Hwange,,Hwange,Matabeleland North,Sub-Saharan Africa,Africa,Africa and Middle East,-18.364722,26.5,approximate,,,other metals & mining,,,"9,572","94,600",53.00%,1.5,58.6,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000104862,L100000103069,Myanmar,https://www.gem.wiki/Inn_Din_power_station,Inn Din power station,Unit 1,,"Rangoon Division power station, Anndin power station",TTCL [100%],TTCL [100.0%],640,cancelled,,,,ultra-supercritical,Unknown,"Imported from Australia, South Africa, and Indonesia",,Inn Din village,Ye Township,,Mon,South-eastern Asia,Asia,SE Asia,15.3,97.966667,approximate,,,,,,"8,272","96,100",53.00%,2.5,99.7,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000104863,L100000103069,Myanmar,https://www.gem.wiki/Inn_Din_power_station,Inn Din power station,Unit 2,,"Rangoon Division power station, Anndin power station",TTCL [100%],TTCL [100.0%],640,cancelled,,,,ultra-supercritical,Unknown,"Imported from Australia, South Africa, and Indonesia",,Inn Din village,Ye Township,,Mon,South-eastern Asia,Asia,SE Asia,15.3,97.966667,approximate,,,,,,"8,272","96,100",53.00%,2.5,99.7,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000104903,L100000103642,Türkiye,https://www.gem.wiki/Irmak_power_station,Irmak power station,--,Irmak Termik Santrali,,Bıçakcılar Çandarlı Elektrik Üretim [100%],Pitanes Elektrik,1320,cancelled,,,,Unknown,bituminous,imported,,,Ezine,Ezine,Çanakkale,Western Asia,Asia,non-EU Europe,39.79,26.3325,approximate,,,,,,"8,605","94,600",53.00%,5.3,210.5,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000104940,L100000100127,Brazil,https://www.gem.wiki/Jacu%C3%AD_New_power_station,Jacuí New power station,--,UTE Jacuí,Jacui Gerasol,Electra Jacui [100%],Electra Jacui [100.0%],350,cancelled,,,,subcritical,Unknown,,,Charqueadas (Porto Alegre),,,Rio Grande do Sul,Latin America and the Caribbean,Americas,Latin America,-29.966667,-51.633333,approximate,,,,,,"9,572","96,100",53.00%,1.6,63.1,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000104984,L100000102818,Indonesia,https://www.gem.wiki/Jawa-6_power_station,Jawa-6 power station,Unit 1,,爪哇6号电站,PT PLN (Persero) [100%],PT PLN (Persero) [100.0%],1000,cancelled,2027,,,supercritical,Unknown,,,,Muara Gembong,Bekasi,West Java,South-eastern Asia,Asia,SE Asia,-5.935064,107.030182,approximate,,,,,,"8,409","96,100",53.00%,4,158.3,N/A,N/A,N/A,,N/A,DBS,,,,Unknown,,,,,,,,,,,
G100000104985,L100000102818,Indonesia,https://www.gem.wiki/Jawa-6_power_station,Jawa-6 power station,Unit 2,,爪哇6号电站,PT PLN (Persero) [100%],PT PLN (Persero) [100.0%],1000,cancelled,2027,,,supercritical,Unknown,,,,Muara Gembong,Bekasi,West Java,South-eastern Asia,Asia,SE Asia,-5.935064,107.030182,approximate,,,,,,"8,409","96,100",53.00%,4,158.3,N/A,N/A,N/A,,N/A,DBS,,,,Unknown,,,,,,,,,,,
G100000105005,L100000102774,Indonesia,https://www.gem.wiki/Jayapura-2_power_station,Jayapura-2 power station,Unit 1,,,PT PLN (Persero) [100%],PT PLN (Persero) [100.0%],50,cancelled,2025,,,subcritical,Unknown,,,Skow Yambe,Muara Tami,Kota Jayapura,Papua,South-eastern Asia,Asia,SE Asia,-2.60839,140.807479,approximate,,,,,,"10,442","96,100",53.00%,0.2,9.8,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000114816,L100000104763,Indonesia,https://www.gem.wiki/KIPI_power_station,KIPI power station,Unit 1,,,Park Joung In [100%],Park Joung In [100.0%],200,shelved,2024,,,Unknown,Unknown,,,Tanah Kuning-Mangkupadi International Port Industrial Zone (KIPI),,Bulungan,East Kalimantan,South-eastern Asia,Asia,SE Asia,0.815946,117.930767,approximate,,,industrial park,,,"10,326","96,100",53.00%,1,38.9,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105355,L100000100134,Brazil,https://www.gem.wiki/Jorge_Lacerda_power_station,Jorge Lacerda power station,Unit 1,Complexo Termelétrico Jorge Lacerda,,Diamante Geração de Energia [100%],Diamante Energia [100.0%],50,operating,1965,,2040,subcritical,bituminous,,,Capivari de Baixo,,Capivari de Baixo,Santa Catarina,Latin America and the Caribbean,Americas,Latin America,-28.452084,-48.968482,exact,,,,,,"12,618","94,600",53.00%,0.3,5.3,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105356,L100000100134,Brazil,https://www.gem.wiki/Jorge_Lacerda_power_station,Jorge Lacerda power station,Unit 2,Complexo Termelétrico Jorge Lacerda,,Diamante Geração de Energia [100%],Diamante Energia [100.0%],50,operating,1967,,2040,subcritical,bituminous,,,Capivari de Baixo,,Capivari de Baixo,Santa Catarina,Latin America and the Caribbean,Americas,Latin America,-28.452084,-48.968482,exact,,,,,,"12,618","94,600",53.00%,0.3,5.3,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105357,L100000100134,Brazil,https://www.gem.wiki/Jorge_Lacerda_power_station,Jorge Lacerda power station,Unit 3,Complexo Termelétrico Jorge Lacerda,,Diamante Geração de Energia [100%],Diamante Energia [100.0%],66,operating,1974,,2040,subcritical,bituminous,,,Capivari de Baixo,,Capivari de Baixo,Santa Catarina,Latin America and the Caribbean,Americas,Latin America,-28.452084,-48.968482,exact,,,,,,"12,618","94,600",53.00%,0.4,6.9,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105358,L100000100134,Brazil,https://www.gem.wiki/Jorge_Lacerda_power_station,Jorge Lacerda power station,Unit 4,Complexo Termelétrico Jorge Lacerda,,Diamante Geração de Energia [100%],Diamante Energia [100.0%],66,operating,1973,,2040,subcritical,bituminous,,,Capivari de Baixo,,Capivari de Baixo,Santa Catarina,Latin America and the Caribbean,Americas,Latin America,-28.452084,-48.968482,exact,,,,,,"12,618","94,600",53.00%,0.4,6.9,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105359,L100000100134,Brazil,https://www.gem.wiki/Jorge_Lacerda_power_station,Jorge Lacerda power station,Unit 5,Complexo Termelétrico Jorge Lacerda,,Diamante Geração de Energia [100%],Diamante Energia [100.0%],131,operating,1979,,2040,subcritical,bituminous,,,Capivari de Baixo,,Capivari de Baixo,Santa Catarina,Latin America and the Caribbean,Americas,Latin America,-28.452084,-48.968482,exact,,,,,,"12,618","94,600",53.00%,0.8,13.8,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105360,L100000100134,Brazil,https://www.gem.wiki/Jorge_Lacerda_power_station,Jorge Lacerda power station,Unit 6,Complexo Termelétrico Jorge Lacerda,,Diamante Geração de Energia [100%],Diamante Energia [100.0%],131,operating,1982,,2040,subcritical,bituminous,,,Capivari de Baixo,,Capivari de Baixo,Santa Catarina,Latin America and the Caribbean,Americas,Latin America,-28.452084,-48.968482,exact,,,,,,"12,618","94,600",53.00%,0.8,13.8,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105361,L100000100134,Brazil,https://www.gem.wiki/Jorge_Lacerda_power_station,Jorge Lacerda power station,Unit 7,Complexo Termelétrico Jorge Lacerda,,Diamante Geração de Energia [100%],Diamante Energia [100.0%],363,operating,1996,,2040,subcritical,bituminous,,,Capivari de Baixo,,Capivari de Baixo,Santa Catarina,Latin America and the Caribbean,Americas,Latin America,-28.452084,-48.968482,exact,,,,,,"11,313","94,600",53.00%,1.9,34.3,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000114817,L100000104763,Indonesia,https://www.gem.wiki/KIPI_power_station,KIPI power station,Unit 2,,,Park Joung In [100%],Park Joung In [100.0%],200,shelved,2024,,,Unknown,Unknown,,,Tanah Kuning-Mangkupadi International Port Industrial Zone (KIPI),,Bulungan,East Kalimantan,South-eastern Asia,Asia,SE Asia,0.815946,117.930767,approximate,,,industrial park,,,"10,326","96,100",53.00%,1,38.9,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105993,L100000102764,Indonesia,https://www.gem.wiki/Kuala_Tanjung_Inalum_captive_power_station,Kuala Tanjung Inalum captive power station,Unit 1,,,PT Bukit Asam [100%],PT Bukit Asam [100.0%],300,cancelled,2023,,,Unknown,Unknown,South Sumatra or Riau,,,Sei Suka,Batubara,North Sumatra,South-eastern Asia,Asia,SE Asia,3.3506353,99.4513321,exact,,,aluminum,power,,"9,466","96,100",53.00%,1.3,53.5,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105994,L100000102764,Indonesia,https://www.gem.wiki/Kuala_Tanjung_Inalum_captive_power_station,Kuala Tanjung Inalum captive power station,Unit 2,,,PT Bukit Asam [100%],PT Bukit Asam [100.0%],300,cancelled,2024,,,Unknown,Unknown,South Sumatra or Riau,,,Sei Suka,Batubara,North Sumatra,South-eastern Asia,Asia,SE Asia,3.3506353,99.4513321,exact,,,aluminum,power,,"9,466","96,100",53.00%,1.3,53.5,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105432,L100000103677,Türkiye,https://www.gem.wiki/Kahramanmara%C5%9F_Anadolu_power_station,Kahramanmaraş Anadolu power station,Unit 1,,,Anadolu Enerji [100%],Ege Trade,300,cancelled,,,,Unknown,lignite,,,,Afşin-Elbistan,,Kahramanmaraş,Western Asia,Asia,non-EU Europe,38.350818,37.00706,approximate,,,,,,"9,466","101,000",53.00%,1.4,56.2,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105448,L100000102882,Japan,https://www.gem.wiki/Kaita_power_station,Kaita power station,--,海田発電所,"Kaita biomass blending, Hiroshima Gas plant",Kaita Biomass Power [100%],Chugoku Electric Power Co Inc [50.0%]; Hiroshima Gas Co Ltd [50.0%],112,operating,2021,,,subcritical,bituminous,,bioenergy - wood & other biomass (solids),Kaita,Aki,Hiroshima,Chūgoku,Eastern Asia,Asia,East Asia,34.365086,132.5253,exact,,,,,,"10,442","94,600",53.00%,0.5,20.6,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105457,L100000100097,Bosnia and Herzegovina,https://www.gem.wiki/Kakanj_Thermal_Power_Plant,Kakanj Thermal Power Plant,Unit 9,,"Kakanj-B power station (Unit 8, Unit 9)",Elektroprivreda BiH [100%],Government of the Federation of Bosnia and Herzegovina [90.4%]; others [9.6%],300,cancelled,2032,,,Unknown,lignite,"Kakanj, Breza and Zenica mines",,Catici,,,FBIH,Southern Europe,Europe,non-EU Europe,44.089722,18.114444,exact,,,,,,"9,466","101,000",53.00%,1.4,56.2,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105460,L100000102105,India,https://www.gem.wiki/Bihar_Ultra_Mega_Power_Project,Bihar Ultra Mega Power Project,--,,Kakwara Ultra Mega Power Project,Bihar Mega Power [100%],Power Finance Corp Ltd [100.0%],4000,cancelled,,,,Unknown,Unknown,,,Kakwara,,Banka,Bihar,Southern Asia,Asia,South Asia,24.833324,86.874819,approximate,Terms of Reference: 2016-06-07; Terms of Reference extension: 2019,,,,,"8,605","96,100",53.00%,16.2,648.1,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105466,L100000102824,Indonesia,https://www.gem.wiki/Kalbar-2_power_station,Kalbar-2 power station,Unit 1,,,to be determined [100%],to be determined [100.0%],100,cancelled,2024,,,subcritical,Unknown,,,Bintang Mas,Kubu Raya,,West Kalimantan,South-eastern Asia,Asia,SE Asia,-0.276265,109.2795913,approximate,,,,,,"10,442","96,100",53.00%,0.5,19.7,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105468,L100000102825,Indonesia,https://www.gem.wiki/Kalbar-3_power_station,Kalbar-3 power station,Unit 1,,,PT PLN (Persero) [100%],PT PLN (Persero) [100.0%],100,cancelled,2027,,,subcritical,Unknown,,,,,,West Kalimantan,South-eastern Asia,Asia,SE Asia,0.341989,108.940307,approximate,,,,,,"10,442","96,100",53.00%,0.5,19.7,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105469,L100000102825,Indonesia,https://www.gem.wiki/Kalbar-3_power_station,Kalbar-3 power station,Unit 2,,,PT PLN (Persero) [100%],PT PLN (Persero) [100.0%],100,cancelled,2027,,,subcritical,Unknown,,,,,,West Kalimantan,South-eastern Asia,Asia,SE Asia,0.341989,108.940307,approximate,,,,,,"10,442","96,100",53.00%,0.5,19.7,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105470,L100000102751,Indonesia,https://www.gem.wiki/Kalbar-4_power_station,Kalbar-4 power station,--,,,to be determined [100%],to be determined [100.0%],200,cancelled,2028,,,subcritical,Unknown,,,,,,Kalimantan,South-eastern Asia,Asia,SE Asia,1.227,114.577,approximate,,,,,,"10,442","96,100",53.00%,1,39.3,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105482,L100000102783,Indonesia,https://www.gem.wiki/Asam-Asam_power_station,Asam-Asam power station,Unit 1,,Kalselteng-2,PT PLN (Persero) [100%],PT PLN (Persero) [100.0%],65,operating,2013,,,Unknown,lignite,,bioenergy - wood & other biomass (solids),Asam-Asam,Jorong,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,SE Asia,-3.9265336,115.105805,exact,,,,,,"11,187","101,000",53.00%,0.4,10.8,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105483,L100000102783,Indonesia,https://www.gem.wiki/Asam-Asam_power_station,Asam-Asam power station,Unit 2,,Kalselteng-2,PT PLN (Persero) [100%],PT PLN (Persero) [100.0%],65,operating,2013,,,Unknown,lignite,,bioenergy - wood & other biomass (solids),Asam-Asam,Jorong,Tanah Laut,South Kalimantan,South-eastern Asia,Asia,SE Asia,-3.9265336,115.105805,exact,,,,,,"11,187","101,000",53.00%,0.4,10.8,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105488,L100000102717,Indonesia,https://www.gem.wiki/Kalteng-1_Pulang_Pisau_power_station,Kalteng-1 Pulang Pisau power station,Unit 1,,,PT PLN (Persero) [100%],PT PLN (Persero) [100.0%],60,operating,2015,,,subcritical,Unknown,,,Buntoi,Kahayan Hilir,Pulang Pisau,Central Kalimantan,South-eastern Asia,Asia,SE Asia,-2.822646,114.208831,exact,,,,,,"10,442","96,100",53.00%,0.3,9.4,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105489,L100000102717,Indonesia,https://www.gem.wiki/Kalteng-1_Pulang_Pisau_power_station,Kalteng-1 Pulang Pisau power station,Unit 2,,,PT PLN (Persero) [100%],PT PLN (Persero) [100.0%],60,operating,2015,,,subcritical,Unknown,,,Buntoi,Kahayan Hilir,Pulang Pisau,Central Kalimantan,South-eastern Asia,Asia,SE Asia,-2.822646,114.208831,exact,,,,,,"10,442","96,100",53.00%,0.3,9.4,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105494,L100000102718,Indonesia,https://www.gem.wiki/Kaltim-3_power_station,Kaltim-3 power station,Unit 1,,,to be determined [100%],to be determined [100.0%],100,cancelled,2025,,,subcritical,Unknown,,,,,Kutai Kartanegara,Central Kalimantan,South-eastern Asia,Asia,SE Asia,0.135698,116.220724,approximate,,,,,,"10,442","96,100",53.00%,0.5,19.7,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105495,L100000102718,Indonesia,https://www.gem.wiki/Kaltim-3_power_station,Kaltim-3 power station,Unit 2,,,to be determined [100%],to be determined [100.0%],100,cancelled,2026,,,subcritical,Unknown,,,,,Kutai Kartanegara,Central Kalimantan,South-eastern Asia,Asia,SE Asia,0.135698,116.220724,approximate,,,,,,"10,442","96,100",53.00%,0.5,19.7,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105496,L100000102719,Indonesia,https://www.gem.wiki/Kaltim-4_power_station,Kaltim-4 power station,Unit 1,,,PT Indonesia Energi Dinamika [100%],PT Indonesia Energi Dinamika [100.0%],100,operating,2020,,,subcritical,Unknown,,,,,Berau,Central Kalimantan,South-eastern Asia,Asia,SE Asia,-0.36501,117.065047,approximate,,,,,,"10,442","96,100",53.00%,0.5,18.2,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105497,L100000102719,Indonesia,https://www.gem.wiki/Kaltim-4_power_station,Kaltim-4 power station,Unit 2,,,PT Indonesia Energi Dinamika [100%],PT Indonesia Energi Dinamika [100.0%],100,operating,2020,,,subcritical,Unknown,,,,,Berau,Central Kalimantan,South-eastern Asia,Asia,SE Asia,-0.36501,117.065047,approximate,,,,,,"10,442","96,100",53.00%,0.5,18.2,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105498,L100000102720,Indonesia,https://www.gem.wiki/Kaltim-5_power_station,Kaltim-5 power station,Unit 1,,,PT Indonesia Power [100%],PT PLN (Persero) [100.0%],100,cancelled,2027,,,subcritical,Unknown,mine-mouth,,,,,Central Kalimantan,South-eastern Asia,Asia,SE Asia,-0.911827,117.195282,approximate,,,,,,"10,442","96,100",53.00%,0.5,19.7,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105499,L100000102720,Indonesia,https://www.gem.wiki/Kaltim-5_power_station,Kaltim-5 power station,Unit 2,,,PT Indonesia Power [100%],PT PLN (Persero) [100.0%],100,cancelled,2028,,,subcritical,Unknown,mine-mouth,,,,,Central Kalimantan,South-eastern Asia,Asia,SE Asia,-0.911827,117.195282,approximate,,,,,,"10,442","96,100",53.00%,0.5,19.7,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105500,L100000102752,Indonesia,https://www.gem.wiki/Kaltim-6_power_station,Kaltim-6 power station,--,,,to be determined [100%],to be determined [100.0%],200,cancelled,2028,,,subcritical,Unknown,,,,,,Kalimantan,South-eastern Asia,Asia,SE Asia,1.227,114.577,approximate,,,,,,"10,442","96,100",53.00%,1,39.3,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105513,L100000103197,Philippines,https://www.gem.wiki/Kamanga_power_station,Kamanga power station,Unit 1,,SM200 project or Southern Mindanao power station,Sarangani Energy [100%],Manila Electric Co [37.5%],105,operating,2016,,,subcritical,subbituminous,,,Kamanga,Maasim,Sarangani,Soccsksarden,South-eastern Asia,Asia,SE Asia,5.86868,125.079818,exact,,,,,,"10,442","96,100",53.00%,0.5,17,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105538,L100000103707,Türkiye,https://www.gem.wiki/Kangal_Etyemez_power_station,Kangal Etyemez power station,--,Etyemez Termik Santrali,,Tam Enerji Üretim [100%],Soyak Holding,135,cancelled,,,,subcritical,lignite,Kangal Etyemez coal mine,,,Kangal/Etyemez,,Sivas,Western Asia,Asia,non-EU Europe,39.07743,37.29562,approximate,,,,,,"10,442","101,000",53.00%,0.7,27.9,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105547,L100000102964,Japan,https://www.gem.wiki/Sendai_power_station,Sendai power station,--,仙台パワーステーション,,ENEX Electric Power; Kanden Energy Solution,Itochu ENEX Co Ltd; Kansai Electric Power Co,112,operating,2017,,,subcritical,Unknown,,,,Sendai,Miyagi,Tohoku,Eastern Asia,Asia,East Asia,38.26812,141.009193,exact,,,,,,"10,442","96,100",53.00%,0.6,18.7,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
G100000105550,L100000103572,Thailand,https://www.gem.wiki/Kao_Hin_Son_power_station,Kao Hin Son power station,Unit 1,"สถานีไฟฟ้าเขาหินซ้อน, สถานีไฟฟ้าฉะเชิงเทรา",Chachoengsao NPS power station,National Power Supply [100%],Double A Group PLC [100.0%],150,cancelled,,,,subcritical,Unknown,,,Khao Hin Son,,Phanom Sarakham,Chachoengsao,South-eastern Asia,Asia,SE Asia,13.744722,101.347222,approximate,,,,,,"10,442","96,100",53.00%,0.7,29.5,N/A,N/A,N/A,,N/A,,,,,Unknown,,,,,,,,,,,
